L,g,E_exact,E_vmc_real,Var_E,Mean_Two_Point_Correlation,Var_Two_Point_Correlation,Exact_Two_Point_Correlation,Exact_Two_Point_Correlation_Variance,rel_error
12,2.0,-25.52513830204807,-25.5240704404423,0.001786075261111505,0.007513020833333334,0.19274791649712458,0.007487996769623892,0.19283452727461659,4.183568344008543e-05
12,1.98,-25.30110340946447,-25.30196465703659,0.0011404962129715574,0.008160807291666667,0.19300143507851497,0.007964415958355097,0.19350337825270827,3.4039921428713193e-05
12,1.96,-25.077414159194213,-25.077980785450784,0.0013041471757750814,0.008192545572916666,0.19402657794356348,0.008476750426968632,0.19419975786050825,2.259508308847578e-05
12,1.94,-24.85408225396202,-24.854208107820014,0.0011318312840565884,0.009305826822916667,0.19519253570172523,0.009028144407288642,0.19492524477118758,5.06370972416903e-06
12,1.92,-24.63111995517503,-24.63091935975477,0.0010091488351831315,0.010588378906250001,0.19508292746477662,0.00962205684827547,0.19568153158222595,8.143982921817579e-06
12,1.9,-24.408540118895083,-24.40872344917443,0.0008467398836785112,0.010395507812500001,0.19625640824370913,0.010262296961155397,0.19647043422863483,7.510907184762851e-06
12,1.88,-24.18635623486632,-24.18589834279497,0.000839237940404214,0.010699055989583333,0.19695828410718175,0.010953064238012839,0.1972939021746433,1.8931833588437794e-05
12,1.86,-23.964582468934047,-23.964653482060818,0.0022348719571444464,0.0114208984375,0.19749054832193588,0.011698993562461278,0.19815402942420313,2.9632532452001625e-06
12,1.84,-23.74323370923323,-23.743184854586143,0.0012888511854179073,0.011985677083333333,0.19839529753790963,0.012505206123229279,0.19905306638251205,2.0576239818558557e-06
12,1.82,-23.52232561657991,-23.522309702832136,6.926321287723157e-05,0.013787434895833334,0.19929612625704868,0.01337736694817306,0.19999343258786886,6.765380274537533e-07
12,1.8,-23.301874679558253,-23.30125332980242,0.0023894255402054,0.01545654296875,0.20029576324820525,0.014321749999432911,0.20097773031371446,2.6665226054843592e-05
12,1.78,-23.08189827486695,-23.081838718745566,0.0022186165973410604,0.015419921875,0.20207233885659115,0.015345311912841574,0.20200875901232995,2.58020898785818e-06
12,1.76,-22.862414733573033,-22.862155017454644,0.0028091107088314246,0.016512858072916668,0.20277664192451372,0.016455775628889516,0.20308953053131154,1.1359960066155018e-05
12,1.74,-22.64344341401653,-22.643778646570865,0.0010026968280099115,0.01653564453125,0.20413439581063061,0.017661725351792477,0.20422328497729667,1.4804839891407148e-05
12,1.72,-22.425004782221553,-22.42550803300168,0.0007220439506084458,0.018603515625,0.20509010712305706,0.018972714490389214,0.20541350702301053,2.2441501574458898e-05
12,1.7,-22.20712050080612,-22.207490776191843,0.001072573532380073,0.019811197916666665,0.20602353206210666,0.020399388483563183,0.20666394234615226,1.6673723444238375e-05
12,1.68,-21.989813527533517,-21.990491443183274,0.0009745919094616968,0.023196614583333334,0.20822493790520563,0.021953624696224017,0.20797861374197238,3.0828622030272305e-05
12,1.66,-21.77310822483434,-21.773067105435473,0.00125885377898244,0.024475911458333333,0.2095099792374505,0.023648691892814586,0.20936183625270435,1.8885405997531573e-06
12,1.64,-21.557030481841437,-21.556712254379818,0.0009101305278361395,0.024002278645833333,0.2108176623211967,0.025499432155168703,0.21081823038883613,1.476211957335297e-05
